Customer_Name_ID;Customer Names;Order_Date;Order_Date (Год + Месяц, Первый день);Order_Date (Год);Profit;Order_Number;Warehouse_Code;Delivery_Region_ID;Product_ID;Order Quantity;Total_Order_Price;Total Unit Cost;Head_Office_ID;Region_Group;Region_Full_Name;City;Country;Product Name;Product Sales;Channel;Unit Price;Customer Sales Group;Группа ABC-XYZ;Группа_ABC;Группа_XYZ;RFM
133;Mydo Corp;03.06.2014;01.06.2014;2014;862,29;SO - 000126;AXW291;20;4;11;1916,2;95,81;54;Lower Regions;Dnepropetrovsk, Ukraine;Dnepropetrovsk;Ukraine;Product 4;10834576,7;Wholesale;174,2;Top Clients;AZ;A;Z;533
31;Golden Corp;06.06.2014;01.06.2014;2014;9501,40399999999;SO - 000153;AXW291;20;7;11;43188,2;3062,436;36;Lower Regions;Dnepropetrovsk, Ukraine;Dnepropetrovsk;Ukraine;Product 7;9503112,49999999;Wholesale;3926,2;Top Clients;AZ;A;Z;544
72;Wordware Company;10.06.2014;01.06.2014;2014;7095,836;SO - 000175;AXW291;20;15;11;24468,4;1579,324;15;Lower Regions;Dnepropetrovsk, Ukraine;Dnepropetrovsk;Ukraine;Product 15;10747791,6;Wholesale;2224,4;Mid. Clients;BY;B;Y;232
166;Brainspher Ltd;13.06.2014;01.06.2014;2014;3979,8;SO - 000199;AXW291;5;9;11;13266;844,2;39;Top Regions;KIEV, Ukraine;KIEV;Ukraine;Product 9;10489225,2;Wholesale;1206;Top Clients;BZ;B;Z;423
142;Skippad Ltd;15.06.2014;01.06.2014;2014;16136,615;SO - 000221;AXW291;5;13;11;55643,5;3591,535;27;Top Regions;KIEV, Ukraine;KIEV;Ukraine;Product 13;10153809,8;Wholesale;5058,5;Top Clients;AY;A;Y;434
135;Kaymbo Company;16.06.2014;01.06.2014;2014;19397,84;SO - 000224;AXW291;9;7;11;69278;4534,56;60;Top Regions;Hamburg, Germany;Hamburg;Germany;Product 7;9503112,49999999;Wholesale;6298;Mid. Clients;BY;B;Y;422
72;Wordware Company;18.06.2014;01.06.2014;2014;7467,28399999999;SO - 000250;AXW291;7;8;11;43925,2;3314,356;15;Lower Regions;BUCURESTI (Bucharest), Romania;BUCURESTI (Bucharest);Romania;Product 8;10172670,3;Wholesale;3993,2;Mid. Clients;BY;B;Y;232
142;Skippad Ltd;19.06.2014;01.06.2014;2014;9707,764;SO - 000258;AXW291;6;11;11;26237,2;1502,676;27;Top Regions;PARIS, France;PARIS;France;Product 11;10003749,9;Wholesale;2385,2;Top Clients;AY;A;Y;434
2;Jaxbean Group;19.06.2014;01.06.2014;2014;4908,42;SO - 000259;AXW291;3;8;11;24542,1;1784,88;42;Top Regions;MADRID, Spain;MADRID;Spain;Product 8;10172670,3;Wholesale;2231,1;Top Clients;AY;A;Y;533
37;Mycone Ltd;25.06.2014;01.06.2014;2014;5306,4;SO - 000300;AXW291;23;10;11;11055;522,6;41;Top Regions;Birmingham, UK;Birmingham;UK;Product 10;10736750;Wholesale;1005;Lower Clients;CZ;C;Z;321
107;NCS Group;26.06.2014;01.06.2014;2014;10256,092;SO - 000304;AXW291;12;1;11;20930,8;970,428;26;Top Regions;BEOGRAD (Belgrade), Serbia;BEOGRAD (Belgrade);Serbia;Product 1;9446611,40000001;Wholesale;1902,8;Top Clients;AY;A;Y;444
137;Aldi Ltd;26.06.2014;01.06.2014;2014;14152,611;SO - 000305;AXW291;28;10;11;38250,3;2190,699;28;Top Regions;Zaporozhye, Ukraine;Zaporozhye;Ukraine;Product 10;10736750;Wholesale;3477,3;Lower Clients;CY;C;Y;422
47;Gigabox Group;28.06.2014;01.06.2014;2014;2934,734;SO - 000326;AXW291;13;9;11;13339,7;945,906;39;Lower Regions;WIEN (Vienna), Austria;WIEN (Vienna);Austria;Product 9;10489225,2;Wholesale;1212,7;Top Clients;AY;A;Y;533
70;Cogidoo Company;30.06.2014;01.06.2014;2014;17577,45;SO - 000343;AXW291;4;14;11;70309,8;4793,85;36;Top Regions;ROMA, Italy;ROMA;Italy;Product 14;10295467,9;Wholesale;6391,8;Top Clients;AY;A;Y;544
160;Browsebug Company;03.07.2014;01.07.2014;2014;2631,09;SO - 000375;AXW291;6;1;11;7517,4;444,21;16;Top Regions;PARIS, France;PARIS;France;Product 1;9446611,40000001;Wholesale;683,4;Top Clients;AY;A;Y;533
67;Skyble Corp;12.07.2014;01.07.2014;2014;3569,291;SO - 000444;AXW291;22;7;11;12307,9;794,419;12;Top Regions;Napoli (Naples), Italy;Napoli (Naples);Italy;Product 7;9503112,49999999;Wholesale;1118,9;Top Clients;AY;A;Y;444
99;Flipbug Ltd;15.07.2014;01.07.2014;2014;14084,07;SO - 000470;AXW291;8;4;11;28743;1332,63;13;Mid Regions;BUDAPEST, Hungary;BUDAPEST;Hungary;Product 4;10834576,7;Wholesale;2613;Top Clients;AY;A;Y;444
